Position	Class	Ctcf	Dnase	H3k27ac	H3k27me3	H3k36me3	H3k4me1	H3k4me1_H3K4me3	H3k4me3	H3k4me3_H3k27me3	H3k79me2	H3k9ac	H3k9me3	H4k20me1	P300	Pol2	tss_Dist	CpGIsland	GC_content
chr3_129226244_129226374	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4826	0	0.5076
chr3_13749865_13749995	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57644	0	0.5153
chr4_123822236_123822366	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8392	0	0.4153
chr5_121414271_121414400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0.5271
chr5_126204615_126204745	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9344	0	0.4769
chr5_1952356_1952486	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12470	0	0.5692
chr6_108943927_108944054	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33494	0	0.4960
chr6_16043128_16043255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47953	0	0.4173
chr6_51029987_51030113	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240489	0	0.3968
chr6_52055135_52055265	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3950	0	0.4538
chr6_57475245_57475375	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82149	0	0.4153
chr6_7074090_7074220	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33609	0	0.5615
chr7_106103143_106103265	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42020	0	0.3770
chr7_128020335_128020465	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14760	0	0.5384
chr7_143127246_143127376	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13169	0	0.5230
chr7_22442153_22442283	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45389	0	0.4153
chr7_25215478_25215608	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3413	0	0.4384
chr7_25898885_25899009	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90014	0	0.5241
chr7_38969303_38969433	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0.4846
chr7_64350276_64350400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0.6532
chr8_37584735_37584865	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9251	0	0.5538
chr8_65492296_65492426	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0	0.5307
chr8_91576379_91576509	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41784	0	0.4538
chr9_135460472_135460602	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2426	0	0.5076
chr9_138110487_138110617	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18826	0	0.4769
chrX_139588145_139588275	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	919	1	0.6230
chrX_148607489_148607617	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0.5234
chrX_40017653_40017783	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11770	1	0.7923
chrX_46434027_46434157	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	808	1	0.6846
chr16_86430087_86430726	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46797	0	0.5007
chr16_80372593_80373755	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159567	0	0.4139
chr16_78510608_78511944	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28521	0	0.3196
chr16_72980900_72982545	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57166	0	0.5185
chr16_72738568_72740149	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39499	0	0.3814
chr16_72254566_72255825	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3218	0	0.4424
chr16_55223185_55224283	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133388	0	0.4444
chr16_55079237_55080429	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106653	0	0.4714
chr16_54650598_54651882	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230263	0	0.3637
chr16_54575878_54577925	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171266	0	0.3903
chr16_54323420_54324336	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2744	1	0.5360
chr16_53726316_53727556	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10166	0	0.3459
chr16_51958288_51959688	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81631	0	0.34
chr16_51671181_51672039	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124390	0	0.4149
chr16_51657810_51658716	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137713	0	0.4359
chr16_51576725_51578101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186281	0	0.4382
chr16_51560196_51560925	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169752	0	0.4320
chr16_51231121_51232362	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45842	0	0.4165
chr16_51056311_51057592	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1215	0	0.4153
chr16_48912816_48914144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238432	0	0.4480
chr16_72404533_72407591	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52255	0	0.4198
chr7_21003280_21004750	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128230	0	0.3517
chr7_42191728_42193638	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4303
chrX_24894335_24896084	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63388	0	0.3950
chrX_24915382_24918272	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84435	0	0.3937
chrX_25007879_25009581	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24484	0	0.3736
chrX_25017067_25018756	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15309	0	0.4191
chrX_25400224_25402334	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366158	0	0.3777
chr16_49094466_49095242	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98176	0	0.4458
chr13_71343609_71344868	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244404	0	0.3224
chr13_71774848_71775368	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185575	0	0.3423
chr13_72771271_72773876	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329940	0	0.3497
chr13_73149054_73150028	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151797	0	0.3285
chr13_72300849_72302934	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137973	0	0.3175
chr13_72425787_72428335	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12572	0	0.3492
chr13_73001083_73003053	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298772	0	0.3121
chr13_73081447_73083754	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218071	0	0.3489
chr2_45106927_45107653	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41953	0	0.4380
chr16_55329289_55330760	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26911	0	0.3840
chr16_51147012_51148642	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34507	1	0.5141
chr16_53948201_53949846	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3033	0	0.3896
chr16_53994058_53995943	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19881	0	0.4419
chr16_53986630_53988193	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27631	0	0.3870
chr16_52446050_52447237	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32401	0	0.3614
chr1_63443534_63444884	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31712	0	0.4192
chr1_63464282_63465717	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10879	0	0.3972
chr2_164450144_164451758	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140736	0	0.3816
chr1_87821621_87823082	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14256	0	0.4024
chr9_129198400_129200739	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14267	0	0.3728
chr13_72345980_72348230	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92677	0	0.2968
chr5_91036888_91038899	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339514	0	0.3630
chr3_180773639_180775802	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333
chr1_51034546_51036289	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36327	0	0.3987
chr1_51165195_51166786	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4937	0	0.3406
chr2_66297527_66299214	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6377	0	0.3930
chr3_136982707_136984175	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281668	0	0.4734
chr3_137047544_137049271	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346505	0	0.3914
chr3_137067622_137068925	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366583	0	0.4543
chr3_147049536_147051100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37343	0	0.3491
chr5_50335050_50336643	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69048	0	0.3628
chr7_114056847_114058647	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1283	0	0.3266
chr7_114295109_114296373	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26496	0	0.3354
chr10_102546590_102548095	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37981	0	0.5069
chr5_158340962_158342611	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67402	0	0.4305
chr10_131691086_131692848	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69257	0	0.4574
chr11_31685357_31686884	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102489	0	0.3169
chr9_83727123_83728378	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240912	0	0.3824
chr1_10965129_10966144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43664	0	0.4463
chr2_174114371_174115933	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20415	0	0.3693
chr2_174985544_174987464	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	934	0	0.3427
chr2_237071364_237071848	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4124	1	0.4566
chr3_18169362_18170237	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137847	0	0.3954
chr3_114433184_114435415	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0.3944
chr3_180436427_180437958	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17704	0	0.3298
chr4_13009318_13010327	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59023	0	0.3696
chr4_105345575_105346895	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49520	0	0.3946
chr5_3511978_3513399	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7859	0	0.3961
chr5_87168414_87169433	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139327	0	0.4268
chr5_87239942_87241645	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210855	0	0.3951
chr5_87692154_87693265	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4142	0	0.4617
chr5_90928612_90929226	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249435	0	0.3550
chr5_93226985_93228322	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9677	0	0.3627
chr5_170627990_170630018	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38018	0	0.3678
chr6_41523224_41523677	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6864	0	0.4679
chr6_98116085_98116943	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33213	0	0.3624
chr6_98719759_98720510	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57199	0	0.4274
chr1_10732070_10733118	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10614	0	0.5286
chr7_31401914_31403016	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21405	0	0.4219
chr8_37249594_37251182	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13060	0	0.3973
chr9_8095553_8096166	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134472	0	0.3882
chr9_13939547_13940363	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11577	0	0.4362
chr9_16710536_16711184	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5455	0	0.4382
chr9_23496285_23497394	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175003	0	0.3579
chr9_81471747_81473114	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287475	0	0.4754
chr9_81870622_81872224	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110032	0	0.4138
chr9_126537718_126539929	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17679	0	0.3817
chr10_77726861_77727618	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184342	0	0.4174
chr1_87821793_87822910	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14428	0	0.3921
chr10_103266649_103267972	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27168	0	0.3681
chr10_124851813_124853071	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39536	0	0.4308
chr10_126905322_126906003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55582	0	0.4684
chr11_131867949_131868377	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13393	0	0.5093
chr12_16715315_16716360	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3984	0	0.4
chr14_29860529_29862348	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	977	0	0.3661
chr14_36020024_36020998	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8293	0	0.3613
chr15_36819021_36820695	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51116	0	0.3578
chr15_57425244_57425958	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	0	0.4201
chr15_67665164_67665685	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301	0	0.3378
chr17_35011848_35012557	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21321	0	0.4710
chr17_35329349_35329944	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7521	0	0.3613
chr18_22692416_22693640	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56852	0	0.4215
chr18_22864753_22866457	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15541	0	0.4542
chr18_35063482_35064528	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011	0	0.4216
chr18_53089625_53091079	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4222
chr18_72357475_72358333	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14499	0	0.3216
chr19_30494614_30495503	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.3802
chr19_30565950_30567016	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45126	0	0.3283
chr19_30767058_30768273	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47435	0	0.3703
chr19_31002941_31004262	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139622	0	0.3557
chr2_7774393_7775070	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37307	0	0.4209
chr1_10781239_10781744	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15606	0	0.4910
chr2_59198905_59200529	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47168	0	0.4125
chr2_59746377_59746992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84029	0	0.3024
chr2_60441495_60442515	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114159	0	0.4147
chr2_104736518_104737365	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26322	0	0.3293
chr2_156726581_156727605	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153483	0	0.3427
chr2_157551014_157551952	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114816	0	0.3805
chr2_157899792_157900721	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213388	0	0.3670
chr2_162094895_162095451	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5798	1	0.5665
chr2_164843797_164844783	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251274	0	0.3468
chr2_172955879_172957052	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3784	0	0.3785
chrX_81788884_81790571	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	972697	0	0.3355
chrX_139169379_139171545	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69952	0	0.3665
chr14_26377372_26378803	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233708	0	0.3822
chr19_30840299_30843536	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19782	0	0.3920
chr14_30741750_30743626	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22597	0	0.3768
chr3_62350726_62351718	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3283	0	0.4536
chr3_62359866_62360569	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5092
chr1_83345366_83346271	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22594	0	0.3723
chr7_35454800_35456218	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93655	0	0.4802
chr7_35505184_35506342	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43531	0	0.5215
chr7_35268514_35269380	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23862	0	0.3637
chr7_35458551_35459522	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90351	0	0.4860
chr22_38394345_38395199	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10915	0	0.6170
chr22_38442140_38442879	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2903	0	0.6197
chr10_92690021_92690674	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8987	0	0.4839
chr5_88548400_88550500	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164123	0	0.3433
chr5_44389166_44390467	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5380
chr2_236773458_236774696	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89019	1	0.4612
chr4_1613479_1614106	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31498	0	0.4529
chr9_17322200_17324371	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91444	0	0.3339
chr13_28395961_28397536	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29181	0	0.4317
chr5_3186439_3187926	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8230	0	0.3604
chr19_32452701_32453894	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3981	0	0.3889
chr13_71358093_71359507	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229765	0	0.3429
chr2_45030569_45032739	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116867	0	0.4050
chr5_50960132_50961567	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213140	0	0.3588
chr1_243876467_243877893	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17448	0	0.3744
chr5_92811465_92813217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37021	0	0.3219
chr7_13506207_13507276	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101532	0	0.3769
chr2_172936519_172938249	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1128	0	0.3583
chr9_84299210_84300117	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2166	0	0.3605
chr4_112421802_112422905	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138745	0	0.3689
chr10_131106522_131108742	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30007	0	0.3644
chr6_98491829_98493238	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105164	0	0.4350
chr22_38381623_38382457	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	972	0	0.5995
chr11_31622822_31624118	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91497	0	0.3194
chr14_29684896_29686744	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136264	0	0.3630
chr6_98461952_98463309	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75287	0	0.3890
chr2_146692288_146693283	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19630	0	0.4241
chr15_37512674_37514557	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119169	0	0.3568
chr2_157861101_157862409	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251700	0	0.3876
chr13_68429117_68430526	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482598	0	0.3647
chr10_125188987_125190075	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1830	0	0.4347
chr12_17824855_17826335	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81928	0	0.3236
chrX_81464240_81465016	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	953247	0	0.3182
chr18_34719386_34720720	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72083	0	0.3200
chr14_36814302_36815937	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24419	0	0.3871
chr14_37726340_37727348	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8923	0	0.3531
chr14_29927484_29928818	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67932	0	0.3155
chr15_37652783_37654460	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128549	0	0.3345
chr5_3182218_3183271	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4009	0	0.4140
chr12_17657732_17659008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83182	0	0.3385
chr12_16610045_16611936	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74284	0	0.3368
