Position	Class	Dnase	H3k27ac	H3k27me3	H3k36me3	H3k4me1	H3k4me1_H3K4me3	H3k4me3	P300	TATA	LDTFs_SDTFs_CRFs	TFBS_conservation	All_TFBS_motifs	Conservation	CpGIsland	tss_Dist	GC
chr11_2020615_2020745	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_12124540_12124670	1	25	10.29026	0	0	4.72517	0.25	13.95602	0	0	0	0	0	0	0	0	0
chr11_27231193_27231323	1	23	0	0	0	3.49103	0	0	0	0	0	0	0	0	0	0	0
chr11_35060170_35060300	1	11	0	0	0	7.39494	0	0	0	0	0	0	0	0	0	0	0
chr11_44747849_44747979	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11_46294440_46294570	1	18	0	0	0	6.93491	0	0	0	0	0	0	0	0	0	0	0
chr11_46934393_46934521	1	0	0	0	0	0	0.34	5.84727	0	0	0	0	0	0	0	0	0
chr1_151689386_151689516	1	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_151811355_151811483	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11_5246081_5246211	1	20	15.25171	0	0	9.16321	0.62	5.62996	0	0	0	0	0	0	0	0	0
chr11_5385527_5385657	1	10	4.78983	0	0	7.73856	0.7	0	0	0	0	0	0	0	0	0	0
chr1_153955073_153955200	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_154976400_154976529	1	90	58.13306	0	0	0	0.14	25.48858	0	0	0	0	0	0	0	0	0
chr1_155854240_155854370	1	44	0	0	0	3.31072	0.49	3.47101	0	0	0	0	0	0	0	0	0
chr1_160406895_160407025	1	22	0	0	0	4.99289	0	0	0	0	0	0	0	0	0	0	0
chr11_61424268_61424398	1	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_161708876_161709006	1	0	3.59675	0	0	4.85217	0	0	0	0	0	0	0	0	0	0	0
chr11_63390771_63390892	1	12	0	0	0	2.25689	0	0	0	0	0	0	0	0	0	0	0
chr11_64216200_64216327	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11_64350912_64351033	1	20	0	0	0	3.99003	0	0	0	0	0	0	0	0	0	0	0
chr11_65121232_65121362	1	0	0	0	0	4.31379	0.24	0	0	0	0	0	0	0	0	0	0
chr11_65125532_65125662	1	24	0	0	0	4.35459	0.53	3.9172	0	0	0	0	0	0	0	0	0
chr11_65956148_65956276	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11_6676812_6676939	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11_68924800_68924926	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11_69458437_69458560	1	24	0	0	0	0	0	5.2585	0	0	0	0	0	0	0	0	0
chr11_72336884_72337009	1	0	0	0	0	5.58984	0	0	0	0	0	0	0	0	0	0	0
chr11_72913096_72913226	1	13	0	0	0	6.50554	0	0	0	0	0	0	0	0	0	0	0
chr1_174784304_174784433	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_176665281_176665411	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11_77890857_77890987	1	11	0	0	0	3.67816	0	0	0	0	0	0	0	0	0	0	0
chr11_78157376_78157506	1	21	0	0	0	5.28304	0	0	0	0	0	0	0	0	0	0	0
chr1_17895755_17895885	1	64	0	0	0	5.90646	0	0	0	0	0	0	0	0	0	0	0
chr11_8103317_8103446	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_181110078_181110201	1	0	4.0581	0	0	13.71574	0.74	0	0	0	0	0	0	0	0	0	0
chr1_186023252_186023382	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11_86270343_86270473	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_200994786_200994916	1	39	0	0	0	7.98074	0	0	0	0	0	0	0	0	0	0	0
chr1_201504336_201504466	1	23	0	0	0	3.46883	0	0	0	0	0	0	0	0	0	0	0
chr1_202159729_202159859	1	0	0	0	0	6.14718	0	0	0	0	0	0	0	0	0	0	0
chr1_203258835_203258965	1	162	7.46724	0	0	9.66171	0	0	0	0	0	0	0	0	0	0	0
chr1_205257397_205257527	1	73	0	0	0	7.41819	0	0	0	0	0	0	0	0	0	0	0
chr1_206490635_206490765	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_206644434_206644564	1	26	0	0	0	0	0.45	5.85687	0	0	0	0	0	0	0	0	0
chr1_209820631_209820761	1	34	10.84441	0	0	13.14288	0.8	0	0	0	0	0	0	0	0	0	0
chr12_109220689_109220819	1	7	0	0	0	6.55754	0	0	0	0	0	0	0	0	0	0	0
chr12_109491445_109491575	1	11	12.76576	0	0	5.16834	0.16	28.11979	0	0	0	0	0	0	0	0	0
chr12_111736987_111737114	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12_112780521_112780651	1	13	0	0	0	6.71057	0	0	0	0	0	0	0	0	0	0	0
chr12_113699772_113699902	1	5	0	0	0	4.69085	0.49	4.84305	0	0	0	0	0	0	0	0	0
chr12_116559277_116559400	1	9	0	0	0	3.36628	0.45	4.04024	0	0	0	0	0	0	0	0	0
chr12_116819456_116819580	1	0	0	0	0	4.50739	0	0	0	0	0	0	0	0	0	0	0
chr1_211872169_211872291	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12_122833209_122833332	1	9	0	0	0	6.27547	0	0	0	0	0	0	0	0	0	0	0
chr1_213089022_213089149	1	0	0	0	0	5.3823	0	0	0	0	0	0	0	0	0	0	0
chr12_14409195_14409324	1	29	51.59971	0	0	8.03293	0	0	0	0	0	0	0	0	0	0	0
chr12_14925000_14925130	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_218633344_218633474	1	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12_19208661_19208786	1	8	0	0	0	0	0	4.45944	0	0	0	0	0	0	0	0	0
chr12_21927620_21927748	1	0	4.99356	0	0	0	0	9.25381	0	0	0	0	0	0	0	0	0
chr1_224060924_224061054	1	52	0	0	0	5.58967	0	0	0	0	0	0	0	0	0	0	0
chr1_228247417_228247547	1	138	0	0	0	0	0.38	7.13635	0	0	0	0	0	0	0	0	0
chr12_29469838_29469968	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_233779200_233779327	1	12	0	0	0	5.22083	0	0	0	0	0	0	0	0	0	0	0
chr1_235107040_235107170	1	25	0	0	0	11.87543	0.75	0	0	0	0	0	0	0	0	0	0
chr12_39538933_39539063	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12_42779310_42779440	1	6	0	0	0	5.81838	0	0	0	0	0	0	0	0	0	0	0
chr12_4378267_4378389	1	0	0	0	0	0	0	7.56473	0	0	0	0	0	0	0	0	0
chr12_51464000_51464124	1	14	0	0	0	6.27672	0	0	0	0	0	0	0	0	0	0	0
chr12_52115671_52115800	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12_54422072_54422200	1	34	0	0	0	0	0.19	12.87035	0	0	0	0	0	0	0	0	0
chr12_55413640_55413762	1	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12_63351069_63351199	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_26486259_26486389	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12_7063106_7063236	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12_89727749_89727879	1	19	0	0	0	5.26971	0	0	0	0	0	0	0	0	0	0	0
chr12_92037696_92037823	1	3	0	0	0	4.0123	0	0	0	0	0	0	0	0	0	0	0
chr12_92379284_92379414	1	7	0	0	0	6.27547	0	0	0	0	0	0	0	0	0	0	0
chr13_113367992_113368122	1	6	4.99356	0	0	5.3613	0	0	0	0	0	0	0	0	0	0	0
chr13_22150773_22150903	1	11	4.2161	0	0	2.90919	0	0	0	0	0	0	0	0	0	0	0
chr13_24734054_24734182	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr13_27268041_27268171	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr13_30169887_30170017	1	91	0	0	0	0	0	6.51583	0	0	0	0	0	0	0	0	0
chr13_42325499_42325628	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr13_42340089_42340217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_34368181_34368310	1	13	0	0	0	6.04693	0	0	0	0	0	0	0	0	0	0	0
chr13_44717467_44717597	1	19	0	0	0	2.90919	0	0	0	0	0	0	0	0	0	0	0
chr13_45548343_45548468	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr13_49160883_49161013	1	15	0	0	0	4.9943	0	0	0	0	0	0	0	0	0	0	0
chr13_50589556_50589686	1	8	4.79567	0	0	5.56364	0	0	0	0	0	0	0	0	0	0	0
chr13_53002592_53002715	1	10	0	0	0	2.82112	0	0	0	0	0	0	0	0	0	0	0
chr1_38411994_38412119	1	180	35.77122	0	0	7.31741	0.3	17.25027	0	0	0	0	0	0	0	0	0
chr1_39052630_39052758	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr13_98875229_98875359	1	25	0	0	0	4.9943	0	0	0	0	0	0	0	0	0	0	0
chr1_39956595_39956725	1	0	0	0	0	0	0	12.97778	0	0	0	0	0	0	0	0	0
chr1_40156832_40156962	1	0	0	0	0	0	0	3.47101	0	0	0	0	0	0	0	0	0
chr14_101339132_101339262	1	5	54.72215	0	0	7.40384	0	0	0	0	0	0	0	0	0	0	0
chr14_21492859_21492989	1	0	16.29551	0	0	4.21858	0.44	9.93393	0	0	0	0	0	0	0	0	0
chr14_23643567_23643692	1	7	0	0	0	6.73256	0	0	0	0	0	0	0	0	0	0	0
chr14_23871627_23871757	1	8	0	0	0	0	0	3.20264	0	0	0	0	0	0	0	0	0
chr14_35727787_35727917	1	15	0	0	0	6.20809	0	0	0	0	0	0	0	0	0	0	0
chr14_36347826_36347947	1	11	0	0	0	4.67566	0	0	0	0	0	0	0	0	0	0	0
chr1_44513077_44513200	1	0	39.19953	0	0	2.9119	0.31	0	0	0	0	0	0	0	0	0	0
chr1_45195045_45195168	1	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14_53019672_53019800	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14_55143702_55143830	1	3	0	0	0	7.42188	0	0	0	0	0	0	0	0	0	0	0
chr14_65292329_65292459	1	22	0	0	0	5.81838	0	0	0	0	0	0	0	0	0	0	0
chr14_73934643_73934773	1	11	0	0	0	8.63567	0	0	0	0	0	0	0	0	0	0	0
chr14_77181504_77181634	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14_78060054_78060184	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14_78785896_78786020	1	0	0	0	0	10.16848	0	0	0	0	0	0	0	0	0	0	0
chr14_88461473_88461603	1	0	14.93928	0	0	8.78945	0.58	0	0	0	0	0	0	0	0	0	0
chr14_94576874_94577000	1	13	0	0	0	7.44674	0	0	0	0	0	0	0	0	0	0	0
chr15_100775324_100775454	1	23	7.34513	0	0	6.49026	0	0	0	0	0	0	0	0	0	0	0
chr15_24921335_24921465	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_52703252_52703382	1	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_53392600_53392730	1	27	9.89549	0	0	5.81838	0.25	17.83613	0	0	0	0	0	0	0	0	0
chr15_40719273_40719400	1	0	0	0	0	15.18868	0.75	5.05074	0	0	0	0	0	0	0	0	0
chr15_41154422_41154552	1	21	0	0	0	3.90241	0	0	0	0	0	0	0	0	0	0	0
chr1_54575506_54575636	1	15	0	0	0	4.81208	0	0	0	0	0	0	0	0	0	0	0
chr15_55583017_55583147	1	0	5.93729	0	0	6.78206	0.3	15.52908	0	0	0	0	0	0	0	0	0
chr15_74073600_74073721	1	30	4.48194	0	0	7.27772	0	0	0	0	0	0	0	0	0	0	0
chr15_78933824_78933949	1	0	0	0	0	0	0	3.9172	0	0	0	0	0	0	0	0	0
chr15_85519384_85519514	1	11	0	0	0	4.65086	0	0	0	0	0	0	0	0	0	0	0
chr15_90198742_90198872	1	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr15_96259258_96259388	1	25	0	0	0	4.7066	0	0	0	0	0	0	0	0	0	0	0
chr16_12049715_12049845	1	11	0	0	0	2.52471	0	0	0	0	0	0	0	0	0	0	0
chr16_19829333_19829463	1	11	0	0	0	4.67566	0	0	0	0	0	0	0	0	0	0	0
chr16_29143903_29144024	1	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr16_29271400_29271522	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr16_29910824_29910954	1	41	0	0	0	0	0.32	10.85193	0	0	0	0	0	0	0	0	0
chr16_32007835_32007965	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr16_56965235_56965365	1	15	30.61349	0	0	11.7779	0.45	14.34302	0	0	0	0	0	0	0	0	0
chr16_57850315_57850445	1	19	5.27318	0	0	4.36379	0	0	0	0	0	0	0	0	0	0	0
chr1_662668_662798	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr16_68413450_68413579	1	14	0	0	0	5.74299	0	0	0	0	0	0	0	0	0	0	0
chr16_70125114_70125244	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr16_85344590_85344720	1	21	0	0	0	9.81698	0	0	0	0	0	0	0	0	0	0	0
chr16_85575336_85575466	1	0	3.96772	0	0	7.70861	0.62	0	0	0	0	0	0	0	0	0	0
chr16_86962367_86962492	1	0	0	0	0	5.73505	0	0	0	0	0	0	0	0	0	0	0
chr16_87594079_87594200	1	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr16_88349380_88349510	1	50	0	0	0	8.02878	0.66	4.05991	0	0	0	0	0	0	0	0	0
chr17_14235114_14235244	1	23	7.02684	0	0	4.36379	0.33	8.85428	0	0	0	0	0	0	0	0	0
chr17_16395659_16395789	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17_27207335_27207465	1	43	4.79202	0	5.59551	7.46769	0	0	0	0	0	0	0	0	0	0	0
chr17_27947400_27947530	1	23	0	0	0	5.22083	0	0	0	0	0	0	0	0	0	0	0
chr17_28580500_28580629	1	11	0	0	0	3.83043	0	0	0	0	0	0	0	0	0	0	0
chr17_32295759_32295887	1	15	0	0	0	6.69684	0	0	0	0	0	0	0	0	0	0	0
chr17_46806075_46806204	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17_48046000_48046128	1	0	0	0	0	0	0	13.1119	0	0	0	0	0	0	0	0	0
chr17_55190535_55190665	1	23	0	0	0	4.17666	0	0	0	0	0	0	0	0	0	0	0
chr17_60162096_60162218	1	13	0	0	0	5.10616	0	0	0	0	0	0	0	0	0	0	0
chr17_60749189_60749319	1	0	0	0	0	6.98066	0	0	0	0	0	0	0	0	0	0	0
chr17_61959335_61959465	1	9	0	0	0	6.27547	0	0	0	0	0	0	0	0	0	0	0
chr1_7669080_7669210	1	45	0	0	0	5.69807	0	0	0	0	0	0	0	0	0	0	0
chr17_67890354_67890484	1	9	0	0	0	4.13654	0	0	0	0	0	0	0	0	0	0	0
chr17_7348462_7348592	1	0	0	0	0	0	0	7.79354	0	0	0	0	0	0	0	0	0
chr17_74487856_74487986	1	15	0	0	0	6.50401	0	0	0	0	0	0	0	0	0	0	0
chr17_79218476_79218600	1	12	0	0	0	3.50675	0	0	0	0	0	0	0	0	0	0	0
chr17_79428059_79428189	1	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17_80188265_80188395	1	0	11.57818	0	0	8.56091	0.51	8.15809	0	0	0	0	0	0	0	0	0
chr18_10530935_10531065	1	14	0	0	0	5.88026	0.69	5.18796	0	0	0	0	0	0	0	0	0
chr18_3282676_3282800	1	0	0	0	0	6.03432	0	0	0	0	0	0	0	0	0	0	0
chr18_32990022_32990152	1	16	0	0	0	6.1131	0	0	0	0	0	0	0	0	0	0	0
chr18_33176563_33176693	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_8671859_8671989	1	34	0	0	0	5.56364	0	0	0	0	0	0	0	0	0	0	0
chr18_77198335_77198465	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr18_8142244_8142374	1	7	0	0	0	6.34474	0	0	0	0	0	0	0	0	0	0	0
chr18_8623831_8623961	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_1098444_1098574	1	0	12.76413	0	0	11.66093	0	0	0	0	0	0	0	0	0	0	0
chr19_11752218_11752348	1	12	0	0	0	6.59209	0	0	0	0	0	0	0	0	0	0	0
chr19_14172203_14172333	1	25	5.36166	0	0	9.22583	0.7	3.9172	0	0	0	0	0	0	0	0	0
chr19_16941635_16941765	1	12	2.68616	0	4.17954	12.29013	0.47	14.10603	0	0	0	0	0	0	0	0	0
chr19_17650679_17650800	1	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_92030478_92030600	1	0	0	0	0	3.76149	0	0	0	0	0	0	0	0	0	0	0
chr1_92035440_92035562	1	0	0	0	0	5.80803	0	0	0	0	0	0	0	0	0	0	0
chr19_33592253_33592383	1	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_33624624_33624754	1	21	0	0	0	5.58984	0	0	0	0	0	0	0	0	0	0	0
chr19_34013165_34013295	1	0	0	0	0	0	0	15.04447	0	0	0	0	0	0	0	0	0
chr19_34311502_34311632	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_3434429_3434559	1	0	33.23943	0	3.81041	2.94253	0.15	0	0	0	0	0	0	0	0	0	0
chr1_93456537_93456667	1	38	0	0	0	7.25074	0	0	0	0	0	0	0	0	0	0	0
chr19_35559377_35559498	1	0	0	0	0	3.67816	0	0	0	0	0	0	0	0	0	0	0
chr1_93625006_93625136	1	36	0	0	3.68849	0	0	0	0	0	0	0	0	0	0	0	0
chr19_4084211_4084341	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_4229346_4229476	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_46032052_46032179	1	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_48035435_48035565	1	8	0	0	0	8.69344	0	0	0	0	0	0	0	0	0	0	0
chr19_49935480_49935610	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_55582625_55582755	1	24	0	0	0	5.80151	0	0	0	0	0	0	0	0	0	0	0
chr19_55720846_55720974	1	0	0	0	0	3.7091	0	0	0	0	0	0	0	0	0	0	0
chr19_55881349_55881479	1	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_58175779_58175909	1	31	0	0	0	0	0	6.84978	0	0	0	0	0	0	0	0	0
chr20_22383355_22383485	1	8	7.02684	0	0	5.89585	0.56	9.1935	0	0	0	0	0	0	0	0	0
chr20_23066943_23067073	1	68	0	0	0	7.15331	0	0	0	0	0	0	0	0	0	0	0
chr20_36531778_36531908	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_4116356_4116486	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_43180816_43180946	1	7	0	0	0	11.19907	0	0	0	0	0	0	0	0	0	0	0
chr20_44002329_44002459	1	44	14.35418	0	0	0	0.37	10.57952	0	0	0	0	0	0	0	0	0
chr20_45197433_45197563	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_49500292_49500422	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_5150924_5151054	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_52660792_52660922	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_62849040_62849169	1	31	0	0	0	6.59209	0	0	0	0	0	0	0	0	0	0	0
chr2_105678753_105678883	1	17	8.33222	0	3.90408	5.93764	0.48	6.38324	0	0	0	0	0	0	0	0	0
chr2_112400480_112400610	1	27	0	0	0	4.45091	0	0	0	0	0	0	0	0	0	0	0
chr2_112460056_112460178	1	17	0	0	0	6.77795	0	0	0	0	0	0	0	0	0	0	0
chr2_112777148_112777274	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2_113925061_113925184	1	8	0	0	0	2.99253	0	0	0	0	0	0	0	0	0	0	0
chr2_114008695_114008822	1	18	0	0	0	5.58984	0	0	0	0	0	0	0	0	0	0	0
chr21_15950576_15950706	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr21_16138349_16138473	1	0	0	0	0	4.79677	0	0	0	0	0	0	0	0	0	0	0
chr2_120348525_120348655	1	6	0	0	0	8.33223	0	0	0	0	0	0	0	0	0	0	0
chr2_12466108_12466238	1	15	7.8076	0	0	5.8293	0	0	0	0	0	0	0	0	0	0	0
chr21_26934301_26934431	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2_131089815_131089945	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2_132177272_132177400	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2_134959259_134959385	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2_145310939_145311069	1	8	0	0	0	8.49338	0.75	2.83238	0	0	0	0	0	0	0	0	0
chr2_145440709_145440835	1	0	4.77982	0	0	8.30617	0.66	0	0	0	0	0	0	0	0	0	0
chr21_46669076_46669200	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr21_46777535_46777665	1	0	0	0	0	3.55316	0	0	0	0	0	0	0	0	0	0	0
chr2_148540289_148540419	1	11	5.99075	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2_157189501_157189630	1	0	30.15748	0	0	0	0.28	11.93084	0	0	0	0	0	0	0	0	0
chr2_158999521_158999645	1	7	0	0	0	4.67566	0	0	0	0	0	0	0	0	0	0	0
chr2_169489321_169489451	1	16	6.22635	0	0	3.76528	0	0	0	0	0	0	0	0	0	0	0
chr2_178414060_178414185	1	8	0	0	0	2.59154	0	0	0	0	0	0	0	0	0	0	0
chr2_179058640_179058770	1	21	0	0	0	5.29068	0.24	16.78963	0	0	0	0	0	0	0	0	0
chr2_217801810_217801940	1	12	0	0	0	8.93912	0	0	0	0	0	0	0	0	0	0	0
chr2_220589409_220589539	1	23	5.67925	0	0	7.64673	0	0	0	0	0	0	0	0	0	0	0
chr22_22982088_22982218	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr22_24542399_24542529	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr22_30223276_30223406	1	8	0	0	0	7.72533	0	0	0	0	0	0	0	0	0	0	0
chr22_30608694_30608819	1	6	0	0	0	4.90421	0	0	0	0	0	0	0	0	0	0	0
chr22_31688615_31688744	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2_232065602_232065732	1	22	0	0	0	4.67566	0	0	0	0	0	0	0	0	0	0	0
chr22_32160924_32161054	1	6	4.89567	0	0	4.36379	0	0	0	0	0	0	0	0	0	0	0
chr2_234259474_234259604	1	30	5.44564	0	0	9.84947	0	0	0	0	0	0	0	0	0	0	0
chr22_35539638_35539768	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr22_36332342_36332472	1	5	0	0	0	4.44712	0	0	0	0	0	0	0	0	0	0	0
chr22_39092751_39092881	1	5	8.93927	0	0	8.34339	0.37	14.39296	0	0	0	0	0	0	0	0	0
chr22_40247660_40247786	1	2	0	0	0	3.50675	0	0	0	0	0	0	0	0	0	0	0
chr22_41106274_41106400	1	0	0	0	0	7.18965	0	0	0	0	0	0	0	0	0	0	0
chr2_24233550_24233680	1	16	47.25598	0	0	0	0.6	12.76758	0	0	0	0	0	0	0	0	0
chr2_242664890_242665020	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
